clause_id;policy;text;ground_truth_ambiguous;predicted_ambiguous
1;zomato;"Your communications: Communications between you and other users, delivery partners or merchants through our Services, some of which may be recorded for internal purposes; your participation in a survey, poll, sweepstakes, contest or promotion scheme; your request for certain features (e.g., newsletters, updates or other products); your communication with us about employment opportunities posted to the Services; your correspondence with our customer service and other grievance redressal mechanisms. If you exchange messages with others through the Services, we may store them in order to process and deliver them, allow you to manage them, and investigate possible violations of our Terms of Service and wrongdoing in connection with the Services. If you send information from the Services to your mobile device via SMS text message, we may log your phone number, phone carrier, and the date and time that the message was processed. Carriers may charge recipients for texts that they receive";1;1
2;zomato;"Your transactional information: If you make reservations or purchases through our Services, we may collect and store information about you to process your requests and automatically complete forms for future transactions, including (but not limited to) your phone number, address, email, billing information and credit or payment card information. This information may be shared with third-parties which assist in processing and fulfilling your requests, including PCI compliant payment gateway processors. If you write reviews about businesses with which you conduct transactions through our Services, we may publicly display information that you transacted with those businesses";1;1
3;zomato;"Personal information: Name, address, email address, postal code, password and other information you may provide with your account, such as your gender, mobile phone number, date of birth, anniversary date, user bio, nationality and website. This also includes your profile picture that will be publicly displayed as part of your account profile. You may optionally provide us with this information through third-party sign-in services such as Facebook and Google. In such cases, we fetch and store whatever information is made available to us through these sign-in services";1;0
4;zomato;"Verifying identity, eligibility, and suitability to act as a Service Partner for one or more platforms within our group.\nOnboarding you onto the relevant platform(s) and facilitating the assignment, management, execution, and completion of service requests (e.g., orders, deliveries, tasks).\nTracking the progress, status, and location related to ongoing services, where applicable.\nCalculating, processing, and disbursing payments, incentives, fees, and other financial amounts related to your services.\nCommunicating with you regarding service requests, operational updates, platform policies, support matters, promotional opportunities, and other relevant business communications.\nMonitoring service quality, performance, and adherence to contractual terms, platform guidelines, and safety protocols.\nEnsuring the safety, security, and integrity of our platforms, operations, Service Partners, customers, merchant partners, and the public, including through fraud detection, investigation, and prevention.\nAnalyzing operational data, usage trends, and performance metrics to optimize logistics, improve platform efficiency, enhance our service offerings, and personalize the Service Partner experience.\nComplying with applicable legal, regulatory, tax, and reporting obligations.\nManaging disputes, enforcing our agreements, and protecting our legal rights and interests.\nFacilitating integrated operations and administration across affiliated Company platforms where applicable (e.g., potentially streamlining onboarding or compliance checks).\n3. Sharing of Service Partner Information: We may share Service Partner information as described generally in the section How we share the information we collect and specifically";0;1
5;zomato;"Our Services are generally not directed to or intended for use by individuals under the age of 18 (Minors), and we do not knowingly collect personal information from Minors for the purposes of creating an account or for general use of our platform. However, we recognize that certain services offered through our platform may be open to use by Minors. While our platform is not designed for Minors, we recognize that an adult user may need to provide limited information about a Minor to access certain services (for example, purchasing a ticket for a family-friendly event on District). By providing personal information of a Minor, you, the adult user, represent and warrant that";0;0
6;zomato;"We may automatically collect certain information about the computer or devices (including mobile devices) you use to access the Services, and about your use of the Services, even if you use the Services without registering or logging in";1;0
7;zomato;"Information volunteered by you: As part of various service offerings provided by us from time to time, you may be given the opportunity to provide us with information that allows us to facilitate these services and in doing so, you consent to providing us with such information. This includes, without limitation, any information you provide in response to surveys, feedback requests, promotional offers, contests, user research studies, beta testing programs, or when utilizing any new or optional features we may introduce. By volunteering any such information, you explicitly consent to its collection and use for the purposes stated at the time of collection and as generally described in this Privacy Policy";1;1
8;zomato;"Payment Card Information: To use certain aspects of our Services, such as to make reservations at certain restaurants and to make payments to certain restaurants, we may require your credit or debit card account information. By submitting your credit or debit card account information through our Services, you expressly consent to the sharing of your information with third-party payment processors, and other third-party service providers (including but not limited to service providers who provide fraud detection services to us and other third parties), and you further agree to the following terms";1;1
9;zomato;"Other Third Parties: We may also obtain information about you from other sources such as business partners (including restaurant, payment, and event partners), marketing and advertising partners, data enrichment services, data brokers, analytics providers, researchers, publicly available sources, affiliates within the Eternal group, and potentially other users (e.g., if they refer you, add you to a reservation/order or upload your contact)";1;0
10;zomato;"Careers: When you apply for a position with Eternal or its affiliates through our Service or other channels, we collect and process the personal information you provide (such as your resume, contact details, qualifications, work history) and information generated during the recruitment process (e.g., interview notes, assessment results). We use this information to manage the recruitment process, including evaluating your suitability for the specific role you applied for and potentially other current or future opportunities within Eternal and its affiliates, conducting background verifications (where applicable and permitted by law), communicating with you about your application, and complying with legal and regulatory requirements. We may share your information with relevant affiliates and trusted third-party service providers who assist us with recruitment functions, such as Applicant Tracking Systems (ATS), assessment providers, and background check agencies. We retain applicant information for as long as necessary to fulfill the recruitment process, comply with our legal and record-keeping obligations, resolve potential disputes, and consider you for future relevant openings, unless otherwise required or requested pursuant to applicable law. Individuals applying for gig worker opportunities with the relevant Eternal entity should read and agree to the relevant terms and conditions governing their engagement with Eternal";0;1
