clause,label
"To provide our Sites, Apps, products and services",0
"Providing our Sites, Apps, products or services",0
creating an account,0
providing customer support on the use of services,0
identifying and preventing wrongful uses,0
providing functions for joining the Weverse community and for community activities,0
performing statistical analyses,0
providing promotional materials (upon request),0
"and communicating with you in relation to our Sites, Apps or services, provision and operation of event services (confirming participants for events, providing and delivering prizes to winners, handling other complaints), and manufacturing individually customized products.",0
To operate our business,0
"Operating and managing our Sites, Apps and services",0
providing you with content,0
displaying advertising and other information to you,0
authenticating users for the sales/delivery of products and the identification and prevention of duplicate purchases/uses or other wrongful uses,0
"communicating and interacting with you via our Sites, Apps or services",0
"and notifying you of changes to any of our Sites, Apps or services.",0
To perform communications and marketing activities,0
"Communicating with you via any means (including via email and app push alerts) to provide news items and other information in which you may be interested, subject to obtaining your prior opt-in consent to the extent required under applicable law",0
"personalizing our Sites, products and services for you",0
maintaining and updating your contact information where appropriate,1
"where applicable, enabling you to opt-out to withdraw your consent to or unsubscribe from emails sent by us, and recording your choice.",1
To manage IT systems,0
"Managing and operating our communications, IT and security systems",0
and auditing (including security audits) and monitoring such systems.,0
"To improve our Sites, Apps and services",0
"Identifying issues related to our Sites, Apps or services",0
"planning improvements to our Sites, Apps or services",0
"and developing new Sites, Apps or services.",0
Information collected additionally to provide specialized services (Your use of the service will not be restricted even if you do not enter optional items.) 1.,0
"Personal information items processed without the member's consent Service	Time of processing	Personal information Processed	Period for retention and use Weverse	Paid service purchase	Receipt number (for in-app purchases)	For 3 months after leaving the service or period stated in relevant laws.",0
"Weverse Account (email), name, and membership number (for membership holders)	For 1 year from the end of the relevant event, and up to 6 months from the announcement of prize winners for the personal information of non-winning participants Offline performance events such as fan meetings, public broadcasts, etc.",0
Video information (recorded during the event) Online performance events such as video call fan meeting,0
"Video information (recorded during the event)	Within 7 days after the end of events such as fan meetings or retention period according to relevant laws Handling customer inquiries	General inquiry",0
weverse account (email address) and the details of the customer inquiries Purchase inquiry,0
"weverse account (email address), the details of the customer inquiries, mobile phone number	Stored for 3 years after the customer inquiry in accordance with relevant laws.",0
"Accessing and using the service	Information automatically generated by cookies (essential cookies)	For the period specified in the Weverse “Cookie Policy”  2.",0
Personal information items processed with the member's consent Legal basis,0
"Account (email address), password, name, nickname	For 3 months after deleting the account or period stated in relevant laws.",0
"Account (email address), password, name, and whether you are a South Korean resident or foreigner Weverse	Service sign-up	User verification information (for connecting to weverse account)	For 3 months after leaving the service or period stated in relevant laws.",0
"When using the artist community services	Nickname, profile image Processing refund requests from customers using paid services	weverse account (email address), name (first name and last name), bank name, bank account number, address	For 5 years after the refund, as stated in relevant Korean laws.",0
"When reporting illegally filmed materials	Name, mobile phone number (telephone number), email address	For 3 years from the reported date, as stated in relevant Korean laws For making a reservation for Weverse Con Festival service	Mobile phone number, email address and ticket number	3 months after the service's purpose is achieved When parcipating in a survey	User credentials (Weverse Account), country/region of residence, age group, year and month of birth, gender, occupation, survey responses	6 months after survey submission Weverse Shop	Entering shipping address for purchasing products	Recipient information (Name, mobile phone number, and address), Taxpayer identification number (when shipping to certain countries)	For 3 months after leaving the service or period stated in relevant laws.",0
"Upon purchasing products	Customer information (Name, email, and mobile phone number), weverse account ID(email) Weverse US customers sales tax billing information (name, contact information, and address), and order number	Retained for 7 years after the time of payment Membership purchase	Name, mobile phone number, and gender	Until the expiration of Weverse Membership",0
the termination of Weverse Membership due to the deletion of weverse account service,0
"For producing the membership card included in a membership kit	Membership user name and membership number	Retained for 90 days after Weverse membership kit purchase or as stated in relevant Korean laws.",0
"When issuing a Weverse Card	Name, gender, date of birth, mobile phone number, nationality (Korean/non-Korean), CI (Connecting Information), Weverse Account information (email address), identity verification result	Until card issuance is canceled or as required by applicable laws When providing Weverse Card rewards	Card application, issuance, usage, and annual fee payment history When applying for Weverse Card easy payment	Password and virtual card number for easy paymenr	Upon Weverse Account deletion, card application cancellation, or easy payment service cancellation Weverse Concerts	For providing performance contents	Email address, user verification information (for connecting to weverse account), and purchase status of related products.",0
"90 days after the ends of performances (concerts, showcases, fan events, etc.).",0
"Weverse albums	Service sign-up	User verification information (for connecting to weverse account)	For 3 months after leaving the service or period stated in relevant laws.",0
"Checking user information when adding album	Nickname and weverse account (email address) Phoning	Service sign-up	Nickname, and user verification information (for connecting to weverse account)	For 3 months after leaving the service or period stated in relevant laws.",0
"Social media log in and connection information	For 3 months after a refund or period stated in relevant laws For processing V COIN refund request	V LIVE number (VID), recipient's name (first name and last name), recipient's address, recipient's phone number, bank account information for a refund (bank name, account number, branch name, SWIFT code, etc.)	For 5 years after the refund, as stated in relevant Korean laws For all services	Event	Prize shipping",0
"You may exercise your rights at any time, by contacting the data protection officer via the contact information provided in Article 13 (Data Protection Officer).",0
"However, if you refuse cookies, you may not be able to use certain functions of the service that require login.",0
The Company does not collect behavioral information for personalized advertising purposes from online services primarily used by children under 14 years of age(under 13 years old for users in the United States and under 16 years old for users in other countries) and does not provide personalized advertising to them.,0
"What Personal Information About Customers Does Amazon Collect?,",0
"We collect your personal information in order to provide and continually improve our products and services.,",0
"Here are the types of personal information we collect,",0
"Information You Give Us,",0
"We receive and store any information you provide in relation to Amazon Services.,",0
"Click here to see examples of what we collect.,",0
"You can choose not to provide certain information, but then you might not be able to take advantage of many of our Amazon Services.,",0
"We automatically collect and store certain types of information about your use of Amazon Services, including information about your interaction with content and services available through Amazon Services.,",1
"Like many websites, we use cookies and other unique identifiers, and we obtain certain types of information when your web browser or device accesses Amazon Services and other content served by or on behalf of Amazon on other websites.,",1
"Click here to see examples of what we collect.,",0
"Information from Other Sources,",0
"We might receive information about you from other sources, such as updated delivery and address information from our carriers, which we use to correct our records and deliver your next purchase more easily.,",1
"Click here to see additional examples of the information we receive  For What Purposes Does Amazon Use Your Personal Information?,",0
"We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers.,",0
"Purchase and delivery of products and services.,",0
"We use your personal information to take and fulfill orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.,",0
"Provide, troubleshoot, and improve Amazon Services.,",0
"We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.,",0
"Recommendations and personalization.,",0
"We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.,",0
"Provide voice, image and camera services.,",0
"When you use our voice, image and camera services, we use your voice input, images, videos, and other personal information to respond to your requests, provide the requested service to you, and improve our services.,",0
"For more information about Alexa voice services, click here.,",0
"Comply with legal obligations.,",0
"In certain cases, we collect and use your personal information to comply with laws.,",1
"For instance, we collect from sellers information regarding place of establishment and bank account information for identity verification and other purposes.,",0
"Communicate with you.,",0
"We use your personal information to communicate with you in relation to Amazon Services via different channels (e.g., by phone, e-mail, chat).,",0
"We use your personal information to display interest-based ads for features, products, and services that might be of interest to you.,",0
"We do not use information that personally identifies you to display interest-based ads.,",0
"To learn more, please read our Interest-Based Ads notice.,",0
"Fraud Prevention and Credit Risks.,",0
"We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others.,",0
"We may also use scoring methods to assess and manage credit risks.,",0
"To enable our systems to recognize your browser or device and to provide and improve Amazon Services, we use cookies and other identifiers.,",0
"For more information about cookies and how we use them, please read our Cookies Notice.,",0
"Information about our customers is an important part of our business and we are not in the business of selling our customers' personal information to others.,",0
"We share customers� personal information only as described below and with Amazon.com, Inc.,",0
"controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice.,",0
"Transactions involving Third Parties,",0
"We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services.,",0
"For example, the products you order through our marketplace are from third parties, you can download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services.,",0
"We also offer services or sell product lines jointly with third-party businesses, such as sellers on the marketplace, restaurants registered on Amazon.in, merchants providing mobile recharges and bill-payment assistance.,",0
"You can tell when a third party is involved in your transactions, and we share customers personal information related to those transactions with that third party.,",0
"Third-Party Service Providers,",0
"We employ other companies and individuals to perform functions on our behalf.,",0
